Date,Open,High,Low,Close,Adj Close,Volume
3/18/2019,13.13,13.8,13,13.1,13.1,0
3/19/2019,12.89,13.77,12.37,13.56,13.56,0
3/20/2019,13.54,14.3,13.05,13.91,13.91,0
3/21/2019,14.11,14.56,13.26,13.63,13.63,0
3/22/2019,13.77,17.52,13.62,16.48,16.48,0
3/25/2019,17.76,17.85,16.26,16.33,16.33,0
3/26/2019,16.219999,16.299999,14.67,14.68,14.68,0
3/27/2019,14.52,16.709999,14.51,15.15,15.15,0
3/28/2019,15.38,15.62,14.41,14.43,14.43,0
3/29/2019,14.19,14.43,13.64,13.71,13.71,0
4/1/2019,13.9,14.01,13.32,13.4,13.4,0
4/2/2019,13.62,13.68,13.13,13.36,13.36,0
4/3/2019,13.06,14.27,12.85,13.74,13.74,0
4/4/2019,13.84,14.03,13.4,13.58,13.58,0
4/5/2019,13.46,13.47,12.17,12.82,12.82,0
4/8/2019,13.55,13.77,13.1,13.18,13.18,0
4/9/2019,13.46,14.39,13.31,14.28,14.28,0
4/10/2019,14.09,14.29,13.27,13.3,13.3,0
4/11/2019,13.37,13.58,12.91,13.02,13.02,0
4/12/2019,12.96,12.96,11.95,12.01,12.01,0
4/15/2019,12.46,13.14,12.24,12.32,12.32,0
4/16/2019,12.26,12.47,11.85,12.18,12.18,0
4/17/2019,12.12,13.02,11.03,12.6,12.6,0
4/18/2019,12.8,13.12,12.02,12.22,12.22,0
